frame_index,x,y,width,height
0,20,20,30,30
1,19,19,30,30
2,19,19,30,30
3,19,19,30,30
4,19,19,30,30
5,18,18,30,30
6,18,18,30,30
7,18,18,30,30
8,17,17,30,30
9,17,17,30,30
10,17,17,30,30
11,17,17,30,30
12,16,16,30,30
13,16,16,30,30
14,16,16,30,30
15,16,16,30,30
16,15,15,30,30
17,15,15,30,30
18,15,15,30,30
19,14,14,30,30
20,14,14,30,30
21,14,14,30,30
22,14,14,30,30
23,13,13,30,30
24,13,13,30,30
25,13,13,30,30
26,12,12,30,30
27,12,12,30,30
28,12,12,30,30
29,11,11,30,30
30,11,11,30,30
31,11,11,30,30
32,10,10,30,30
33,10,10,30,30
34,10,10,30,30
35,10,10,30,30
36,9,9,30,30
37,9,9,30,30
38,9,9,30,30
39,8,8,30,30
40,8,8,30,30
41,8,8,30,30
42,7,7,30,30
43,7,7,30,30
44,7,7,30,30
45,6,6,30,30
46,6,6,30,30
47,6,6,30,30
48,6,6,30,30
